Age,SD_probability_mean,SD_probability_error
-13.073418,0.9999964434655062,7.69079357651184e-09
-13.049367,0.999994593003186,1.15201005152638e-08
-13.025316,0.9999987099474972,2.8894641192236114e-09
-13.001266,0.9973697492321448,2.667348934343436e-06
-12.977215,0.9999993883719072,1.404864880202674e-09
-12.953165,0.9999998117691066,4.493767362382605e-10
-12.929114,0.9999999428975692,1.4156517638701164e-10
-12.905063,0.9999999903872931,2.5152033730408183e-11
-12.881013,0.9999999849148252,3.8946338809893667e-11
-12.856962,0.9999999828918624,4.400304890109584e-11
-12.832911,0.9999999771353612,5.829757198675321e-11
-12.808861,0.9999996479523002,8.235402046825371e-10
-12.78481,0.9999999397921568,1.4901839370062435e-10
-12.760759,0.9999998513665644,3.575415389881056e-10
-12.736709,0.9999996848777568,7.39841047024118e-10
-12.712658,0.9999999030413278,2.3642265111322744e-10
-12.688608,0.999999964787918,8.860743570331623e-11
-12.664557,0.9999999693708602,7.740414966686908e-11
-12.640506,0.9999999849789118,3.878581499224799e-11
-12.616456,0.9999999884797764,2.9982161188307876e-11
-12.592405,0.9999999489274216,1.2705531528818196e-10
-12.568354,0.9999999928405232,1.889593045469137e-11
-12.544304,0.9999999925064966,1.975113808979786e-11
-12.520253,0.9999999957470176,1.1395938003466708e-11
-12.496203,0.9999999959607936,1.0839215313744075e-11
-12.472152,0.9999999957240452,1.1455715863604795e-11
-12.448101,0.999999995736195,1.1424103505999823e-11
-12.424051,0.999999994728471,1.4037720023179571e-11
-12.4,0.999999992775391,1.9062782002864863e-11
-12.375949,0.9999999959025584,1.099095911045812e-11
-12.351899,0.9999999959712907,1.0811857502516074e-11
-12.327848,0.9999999960347232,1.0646485027610669e-11
-12.303797,0.9999999960501668,1.0606212626355996e-11
-12.279747,0.9999999959880111,1.0768273931194043e-11
-12.255696,0.9999999959992676,1.07389312220958e-11
-12.231646,0.9999999950417524,1.3226944389609984e-11
-12.207595,0.9999999932850108,1.7756036525496025e-11
-12.183544,0.9999999892521052,2.8029690598614897e-11
-12.159494,0.9999999906012392,2.460856614998665e-11
-12.135443,0.9999999923008036,2.0277195635134335e-11
-12.111392,0.9999999913226214,2.2773284964394423e-11
-12.087342,0.9999999915729704,2.2135303384023766e-11
-12.063291,0.9999999526515372,1.180668470500935e-10
-12.039241,0.999999967888626,8.103298474572729e-11
-12.01519,0.9999999703065312,7.511059410792689e-11
-11.991139,0.9999999936129365,1.6913617604768674e-11
-11.967089,0.9999999944962654,1.4637740867522775e-11
-11.943038,0.9999999945079494,1.4607568719549568e-11
-11.918987,0.999999993712206,1.6658348346060638e-11
-11.894937,0.9999999909493968,2.3723364658813527e-11
-11.870886,0.999999990553894,2.472886380148504e-11
-11.846835,0.9999999913360036,2.273919528806235e-11
-11.822785,0.9999999936172416,1.6902548947461865e-11
-11.798734,0.9999999900813265,2.5928615372869904e-11
-11.774684,0.999999988979252,2.8719948161854348e-11
-11.750633,0.9999999923527714,2.014433073955636e-11
-11.726582,0.9999999881221984,3.0884762625756185e-11
